full_path,package,module,type,ats,totals,WDTs
libraries/transformers/Control/Monad/Trans/RWS/Strict.hs,transformers,Strict.hs,terms,0,7,0
libraries/transformers/Control/Monad/Trans/Accum.hs,transformers,Accum.hs,classes,1,7,0
libraries/transformers/Control/Monad/Trans/Accum.hs,transformers,Accum.hs,instances,1,7,0
libraries/transformers/Control/Monad/Trans/Accum.hs,transformers,Accum.hs,terms,1,7,0
libraries/transformers/Control/Monad/Trans/Cont.hs,transformers,Cont.hs,classes,0,1,0
libraries/transformers/Control/Monad/Trans/Cont.hs,transformers,Cont.hs,instances,0,1,0
libraries/transformers/Control/Monad/Trans/Cont.hs,transformers,Cont.hs,terms,0,1,0
libraries/transformers/Control/Monad/Trans/Select.hs,transformers,Select.hs,classes,0,6,0
libraries/transformers/Control/Monad/Trans/Select.hs,transformers,Select.hs,instances,0,6,0
libraries/transformers/Control/Monad/Trans/Select.hs,transformers,Select.hs,terms,0,6,0
libraries/transformers/Control/Monad/Trans/Reader.hs,transformers,Reader.hs,classes,0,5,0
libraries/transformers/Control/Monad/Trans/Reader.hs,transformers,Reader.hs,instances,0,5,0
libraries/transformers/Control/Monad/Trans/Reader.hs,transformers,Reader.hs,terms,0,5,0
libraries/transformers/Control/Monad/Trans/Identity.hs,transformers,Identity.hs,classes,0,9,0
libraries/transformers/Control/Monad/Trans/Identity.hs,transformers,Identity.hs,instances,0,9,0
libraries/transformers/Control/Monad/Trans/Identity.hs,transformers,Identity.hs,terms,0,9,0
libraries/transformers/Data/Functor/Reverse.hs,transformers,Reverse.hs,classes,0,17,0
libraries/transformers/Data/Functor/Reverse.hs,transformers,Reverse.hs,instances,0,17,0
libraries/transformers/Data/Functor/Reverse.hs,transformers,Reverse.hs,terms,0,17,0
libraries/containers/containers/src/Data/Map/Internal.hs,containers,Internal.hs,classes,4,11,0
libraries/containers/containers/src/Data/Map/Internal.hs,containers,Internal.hs,instances,4,11,0
libraries/containers/containers/src/Data/Map/Internal.hs,containers,Internal.hs,terms,4,11,0
libraries/containers/containers/src/Data/IntMap/Internal.hs,containers,Internal.hs,classes,2,4,0
libraries/containers/containers/src/Data/IntMap/Internal.hs,containers,Internal.hs,instances,2,4,0
libraries/containers/containers/src/Data/IntMap/Internal.hs,containers,Internal.hs,terms,2,4,0
libraries/containers/containers-tests/src/Data/Map/Internal.hs,containers,Internal.hs,classes,4,11,0
libraries/containers/containers-tests/src/Data/Map/Internal.hs,containers,Internal.hs,instances,4,11,0
libraries/containers/containers-tests/src/Data/Map/Internal.hs,containers,Internal.hs,terms,4,11,0
libraries/containers/containers-tests/src/Data/IntMap/Internal.hs,containers,Internal.hs,classes,2,4,0
libraries/containers/containers-tests/src/Data/IntMap/Internal.hs,containers,Internal.hs,instances,2,4,0
libraries/containers/containers-tests/src/Data/IntMap/Internal.hs,containers,Internal.hs,terms,2,4,0
libraries/Cabal/Cabal/src/Distribution/Compat/CharParsing.hs,Cabal,CharParsing.hs,classes,6,9,0
libraries/Cabal/Cabal/src/Distribution/Compat/CharParsing.hs,Cabal,CharParsing.hs,instances,6,9,0
libraries/Cabal/Cabal/src/Distribution/Compat/CharParsing.hs,Cabal,CharParsing.hs,terms,6,9,0
libraries/Cabal/Cabal/src/Distribution/Compat/Prelude.hs,Cabal,Prelude.hs,classes,0,3,0
libraries/Cabal/Cabal/src/Distribution/Compat/Prelude.hs,Cabal,Prelude.hs,instances,0,3,0
libraries/Cabal/Cabal/src/Distribution/Compat/Prelude.hs,Cabal,Prelude.hs,terms,0,3,0
libraries/Cabal/Cabal/src/Distribution/Compat/Parsing.hs,Cabal,Parsing.hs,classes,3,9,0
libraries/Cabal/Cabal/src/Distribution/Compat/Parsing.hs,Cabal,Parsing.hs,instances,3,9,0
libraries/Cabal/Cabal/src/Distribution/Compat/Parsing.hs,Cabal,Parsing.hs,terms,3,9,0
libraries/Cabal/cabal-install/src/Distribution/Client/IndexUtils/IndexState.hs,Cabal,IndexState.hs,classes,0,2,0
libraries/Cabal/cabal-install/src/Distribution/Client/IndexUtils/IndexState.hs,Cabal,IndexState.hs,instances,0,2,0
libraries/Cabal/cabal-install/src/Distribution/Client/IndexUtils/IndexState.hs,Cabal,IndexState.hs,terms,0,2,0
libraries/Cabal/cabal-install/tests/UnitTests/Distribution/Client/DescribedInstances.hs,Cabal,DescribedInstances.hs,classes,0,1,0
libraries/Cabal/cabal-install/tests/UnitTests/Distribution/Client/DescribedInstances.hs,Cabal,DescribedInstances.hs,instances,0,1,0
libraries/Cabal/cabal-install/tests/UnitTests/Distribution/Client/DescribedInstances.hs,Cabal,DescribedInstances.hs,terms,0,1,0
libraries/Cabal/cabal-install/tests/UnitTests/Distribution/Client/ArbitraryInstances.hs,Cabal,ArbitraryInstances.hs,classes,0,1,0
libraries/Cabal/cabal-install/tests/UnitTests/Distribution/Client/ArbitraryInstances.hs,Cabal,ArbitraryInstances.hs,instances,0,1,0
libraries/Cabal/cabal-install/tests/UnitTests/Distribution/Client/ArbitraryInstances.hs,Cabal,ArbitraryInstances.hs,terms,0,1,0
libraries/binary/src/Data/Binary/Generic.hs,binary,Generic.hs,classes,0,10,0
libraries/binary/src/Data/Binary/Generic.hs,binary,Generic.hs,instances,0,10,0
libraries/binary/src/Data/Binary/Generic.hs,binary,Generic.hs,terms,0,10,0
libraries/deepseq/Control/DeepSeq.hs,deepseq,DeepSeq.hs,classes,0,11,0
libraries/deepseq/Control/DeepSeq.hs,deepseq,DeepSeq.hs,instances,0,11,0
libraries/deepseq/Control/DeepSeq.hs,deepseq,DeepSeq.hs,terms,0,11,0
libraries/haskeline/System/Console/Haskeline/InputT.hs,haskeline,InputT.hs,classes,0,13,0
libraries/haskeline/System/Console/Haskeline/InputT.hs,haskeline,InputT.hs,instances,0,13,0
libraries/haskeline/System/Console/Haskeline/InputT.hs,haskeline,InputT.hs,terms,0,13,0
libraries/haskeline/System/Console/Haskeline/Command.hs,haskeline,Command.hs,classes,0,10,0
libraries/haskeline/System/Console/Haskeline/Command.hs,haskeline,Command.hs,instances,0,10,0
libraries/haskeline/System/Console/Haskeline/Command.hs,haskeline,Command.hs,terms,0,10,0
libraries/haskeline/System/Console/Haskeline/Backend/Terminfo.hs,haskeline,Terminfo.hs,classes,0,2,0
libraries/haskeline/System/Console/Haskeline/Backend/Terminfo.hs,haskeline,Terminfo.hs,instances,0,2,0
libraries/haskeline/System/Console/Haskeline/Backend/Terminfo.hs,haskeline,Terminfo.hs,terms,0,2,0
libraries/haskeline/System/Console/Haskeline/Backend/DumbTerm.hs,haskeline,DumbTerm.hs,classes,0,2,0
libraries/haskeline/System/Console/Haskeline/Backend/DumbTerm.hs,haskeline,DumbTerm.hs,instances,0,2,0
libraries/haskeline/System/Console/Haskeline/Backend/DumbTerm.hs,haskeline,DumbTerm.hs,terms,0,2,0
libraries/parsec/src/Text/Parsec/Prim.hs,parsec,Prim.hs,classes,0,33,0
libraries/parsec/src/Text/Parsec/Prim.hs,parsec,Prim.hs,instances,0,33,0
libraries/parsec/src/Text/Parsec/Prim.hs,parsec,Prim.hs,terms,0,33,0
libraries/mtl/Control/Monad/State/Class.hs,mtl,Class.hs,classes,1,13,0
libraries/mtl/Control/Monad/State/Class.hs,mtl,Class.hs,instances,1,13,0
libraries/mtl/Control/Monad/State/Class.hs,mtl,Class.hs,terms,1,13,0
libraries/mtl/Control/Monad/Writer/Class.hs,mtl,Class.hs,classes,2,11,0
libraries/mtl/Control/Monad/Writer/Class.hs,mtl,Class.hs,instances,2,11,0
libraries/mtl/Control/Monad/Writer/Class.hs,mtl,Class.hs,terms,2,11,0
libraries/mtl/Control/Monad/RWS/Class.hs,mtl,Class.hs,classes,0,6,0
libraries/mtl/Control/Monad/RWS/Class.hs,mtl,Class.hs,instances,0,6,0
libraries/mtl/Control/Monad/RWS/Class.hs,mtl,Class.hs,terms,0,6,0
libraries/mtl/Control/Monad/Error/Class.hs,mtl,Class.hs,classes,0,12,0
libraries/mtl/Control/Monad/Error/Class.hs,mtl,Class.hs,instances,0,12,0
libraries/mtl/Control/Monad/Error/Class.hs,mtl,Class.hs,terms,0,12,0
libraries/exceptions/src/Control/Monad/Catch/Pure.hs,exceptions,Pure.hs,classes,0,15,0
libraries/exceptions/src/Control/Monad/Catch/Pure.hs,exceptions,Pure.hs,instances,0,15,0
libraries/exceptions/src/Control/Monad/Catch/Pure.hs,exceptions,Pure.hs,terms,0,15,0
libraries/exceptions/src/Control/Monad/Catch.hs,exceptions,Catch.hs,classes,5,36,0
libraries/exceptions/src/Control/Monad/Catch.hs,exceptions,Catch.hs,instances,5,36,0
libraries/exceptions/src/Control/Monad/Catch.hs,exceptions,Catch.hs,terms,5,36,0
libraries/base/Data/List/NonEmpty.hs,base,NonEmpty.hs,classes,1,0,0
libraries/base/Data/List/NonEmpty.hs,base,NonEmpty.hs,instances,1,0,0
libraries/base/Data/List/NonEmpty.hs,base,NonEmpty.hs,terms,1,0,0
libraries/base/Data/Traversable.hs,base,Traversable.hs,classes,2,2,0
libraries/base/Data/Traversable.hs,base,Traversable.hs,instances,2,2,0
libraries/base/Data/Traversable.hs,base,Traversable.hs,terms,2,2,0
libraries/base/GHC/Base.hs,base,Base.hs,classes,2,0,0
libraries/base/GHC/Base.hs,base,Base.hs,instances,2,0,0
libraries/base/GHC/Base.hs,base,Base.hs,terms,2,0,0
libraries/containers/containers/src/Data/Map/Strict/Internal.hs,containers,Internal.hs,classes,1,4,0
libraries/containers/containers/src/Data/Map/Strict/Internal.hs,containers,Internal.hs,instances,1,4,0
libraries/containers/containers/src/Data/Map/Strict/Internal.hs,containers,Internal.hs,terms,1,4,0
libraries/containers/containers/src/Data/Tree.hs,containers,Tree.hs,classes,2,2,0
libraries/containers/containers/src/Data/Tree.hs,containers,Tree.hs,instances,2,2,0
libraries/containers/containers/src/Data/Tree.hs,containers,Tree.hs,terms,2,2,0
libraries/containers/containers-tests/src/Data/Map/Strict/Internal.hs,containers,Internal.hs,classes,1,4,0
libraries/containers/containers-tests/src/Data/Map/Strict/Internal.hs,containers,Internal.hs,instances,1,4,0
libraries/containers/containers-tests/src/Data/Map/Strict/Internal.hs,containers,Internal.hs,terms,1,4,0
libraries/containers/containers-tests/src/Data/Tree.hs,containers,Tree.hs,classes,2,2,0
libraries/containers/containers-tests/src/Data/Tree.hs,containers,Tree.hs,instances,2,2,0
libraries/containers/containers-tests/src/Data/Tree.hs,containers,Tree.hs,terms,2,2,0
libraries/Cabal/Cabal/src/Distribution/FieldGrammar/Class.hs,Cabal,Class.hs,classes,1,0,0
libraries/Cabal/Cabal/src/Distribution/FieldGrammar/Class.hs,Cabal,Class.hs,instances,1,0,0
libraries/Cabal/Cabal/src/Distribution/FieldGrammar/Class.hs,Cabal,Class.hs,terms,1,0,0
